route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
2,2022_09_12-DX-MVS-Weekday-33,1184939,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185117,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184940,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185118,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184941,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185119,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184942,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185120,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184943,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185121,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184944,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185122,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184945,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185123,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184946,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185124,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184947,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185125,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184948,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185126,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184949,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185127,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184950,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185128,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184951,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185129,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184952,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185130,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184953,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185132,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184954,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185133,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184955,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185134,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184956,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185131,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184957,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185135,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184958,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185136,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184959,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185137,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184960,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185138,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184961,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185139,San Francisco Int'l Airport / Millbrae,1,,1185139_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184962,San Francisco / Antioch,0,,1184980_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184963,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185140,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184964,San Francisco / Antioch,0,,1184980_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184965,San Francisco / Antioch,0,,1184980_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184966,San Francisco / Antioch,0,,1184980_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184968,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185141,San Francisco Int'l Airport / Millbrae,1,,1185139_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185144,San Francisco Int'l Airport / Millbrae,1,,1185139_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184969,San Francisco / Antioch,0,,1184980_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184970,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185142,San Francisco International Airport,1,,1185153_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185145,San Francisco Int'l Airport / Millbrae,1,,1185139_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184983,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185143,San Francisco Int'l Airport / Millbrae,1,,1185139_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184967,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185146,San Francisco Int'l Airport / Millbrae,1,,1185139_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184971,San Francisco / Antioch,0,,1184980_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184972,San Francisco / Antioch,0,,1184979_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185147,San Francisco Int'l Airport / Millbrae,1,,1185139_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184973,San Francisco / Antioch,0,,1184979_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184974,San Francisco / Antioch,0,,1184979_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185148,San Francisco Int'l Airport / Millbrae,1,,1185139_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184975,San Francisco / Antioch,0,,1184979_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184976,San Francisco / Antioch,0,,1184979_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185149,San Francisco Int'l Airport / Millbrae,1,,1185139_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184977,San Francisco / Antioch,0,,1184979_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184978,San Francisco / Antioch,0,,1184979_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185150,San Francisco Int'l Airport / Millbrae,1,,1185139_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185151,San Francisco International Airport,1,,1185153_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185208,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185318,Millbrae / SF / Richmond,0,,1185318_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185209,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185319,Millbrae / SF / Richmond,0,,1185318_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185210,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185321,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185213,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185322,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185211,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185323,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185214,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185320,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185215,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185324,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185212,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185325,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185216,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185326,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185217,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185327,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185218,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185328,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185219,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185329,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185220,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185330,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185221,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185331,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185222,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185332,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185223,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185333,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185224,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185334,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185225,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185335,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185226,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185336,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185227,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185337,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185228,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185338,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185229,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185339,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185230,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185340,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185231,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185341,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-DX-MVS-Weekday-33,1185232,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-DX-MVS-Weekday-33,1185342,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
